# ----------------------------------------
# Engagement overview
# Account: SecuSpark
# Property: SecuSparl-property
# ----------------------------------------
#  
# Start date: 20251209
# End date: 20260308
Nth week,Average engagement time per active user
0000,518.3170731707318
0001,384.8979591836735
0002,162.96666666666667
0003,532.7317073170732
0004,711.4122807017544
0005,487.53956834532374
0006,416.47
0007,431.73333333333335
0008,426
0009,152.37037037037038
0010,379.5
0011,1045.5217391304348
0012,997.9047619047619
0013,411.8125

# Start date: 20251209
# End date: 20260308
Nth week,Engaged sessions per active user
0000,1.6585365853658536
0001,1.0204081632653061
0002,0.5
0003,1.2804878048780488
0004,1.1403508771929824
0005,0.7913669064748201
0006,0.8
0007,1.0266666666666666
0008,1.0379746835443038
0009,0.5802469135802469
0010,0.9459459459459459
0011,1.4130434782608696
0012,1.6547619047619047
0013,1.375

# Start date: 20251209
# End date: 20260308
Nth week,Average engagement time per session
0000,183.19827586206895
0001,202.79569892473117
0002,126.98701298701299
0003,264.75151515151515
0004,351.0865800865801
0005,295.9301310043668
0006,235.29378531073445
0007,210.25974025974025
0008,225.86577181208054
0009,105.48717948717949
0010,209.57462686567163
0011,411.05982905982904
0012,366.04366812227073
0013,199.66666666666666

#  
# Start date: 20251209
# End date: 20260308
Nth week,Views
0000,296
0001,252
0002,153
0003,488
0004,743
0005,667
0006,433
0007,395
0008,400
0009,200
0010,299
0011,997
0012,1014
0013,367

# Start date: 20251209
# End date: 20260308
Nth week,Event count
0000,593
0001,540
0002,416
0003,1013
0004,1485
0005,1392
0006,959
0007,837
0008,830
0009,531
0010,674
0011,2035
0012,1870
0013,731

#  
# Start date: 20251209
# End date: 20260308
Event name,Event count
page_view,6704
session_start,2127
scroll,1508
user_engagement,1471
exam_page_visit_event,1167
first_visit,913
form_start,16

#  
# Start date: 20251209
# End date: 20260308
Page title and screen class,Views
Free Security+ Practice Tests 2025 | 575 SY0-701 Questions | SecuSpark,1641
CompTIA Certification Practice Exams | SecuSpark,1138
Exam Results & AI Analysis | SecuSpark | SecuSpark,679
SecuSpark - CompTIA Certification Practice Exams & AI Tutor,629
Free CompTIA Practice Exams 2026 | Security+ A+ Network+ Questions | SecuSpark,565
CompTIA Practice Exams & RPG Study Game — SecuSpark,355
Security+ Flashcards with AI | Spaced Repetition Study Tool | SecuSpark,214
Battle Arena — Fight 103 Cybersecurity Threats | SecuSpark | SecuSpark,121
Exámenes de práctica gratuitos de CompTIA 2026 | Preguntas de Security+ A+ Network+ | SecuSpark,95
"Track CompTIA Progress Like a Video Game — XP, Streaks, Badges | SecuSpark",81
Practice Exam,75
Track Your CompTIA Certification Progress | SecuSpark Stats | SecuSpark,72
Remote Cybersecurity Jobs With No Experience: Complete 2026 Guide | SecuSpark Blog | SecuSpark,71
Battle | SecuSpark | SecuSpark,64
Resultados de exámenes y análisis de IA | SecuSpark | SecuSpark,59
Free CompTIA Flashcards 2026 | Security+ A+ Network+ Study Cards | SecuSpark,58
Exámenes de práctica para la certificación CompTIA | SecuSpark,48
